"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","TOT","IDX2015","M","1970-01",7.235199,
"OECD","CPI","TOT","IDX2015","M","1970-02",7.264144,
"OECD","CPI","TOT","IDX2015","M","1970-03",7.303164,
"OECD","CPI","TOT","IDX2015","M","1970-04",7.355186,
"OECD","CPI","TOT","IDX2015","M","1970-05",7.363928,
"OECD","CPI","TOT","IDX2015","M","1970-06",7.388937,
"OECD","CPI","TOT","IDX2015","M","1970-07",7.421941,
"OECD","CPI","TOT","IDX2015","M","1970-08",7.429567,
"OECD","CPI","TOT","IDX2015","M","1970-09",7.472041,
"OECD","CPI","TOT","IDX2015","M","1970-10",7.523818,
"OECD","CPI","TOT","IDX2015","M","1970-11",7.557865,
"OECD","CPI","TOT","IDX2015","M","1970-12",7.596914,
"OECD","CPI","TOT","IDX2015","M","1971-01",7.641017,
"OECD","CPI","TOT","IDX2015","M","1971-02",7.670825,
"OECD","CPI","TOT","IDX2015","M","1971-03",7.70206,
"OECD","CPI","TOT","IDX2015","M","1971-04",7.753732,
"OECD","CPI","TOT","IDX2015","M","1971-05",7.787312,
"OECD","CPI","TOT","IDX2015","M","1971-06",7.828241,
"OECD","CPI","TOT","IDX2015","M","1971-07",7.863747,
"OECD","CPI","TOT","IDX2015","M","1971-08",7.886947,
"OECD","CPI","TOT","IDX2015","M","1971-09",7.9243,
"OECD","CPI","TOT","IDX2015","M","1971-10",7.959931,
"OECD","CPI","TOT","IDX2015","M","1971-11",7.972871,
"OECD","CPI","TOT","IDX2015","M","1971-12",8.006886,
"OECD","CPI","TOT","IDX2015","M","1972-01",8.033043,
"OECD","CPI","TOT","IDX2015","M","1972-02",8.073156,
"OECD","CPI","TOT","IDX2015","M","1972-03",8.109479,
"OECD","CPI","TOT","IDX2015","M","1972-04",8.147562,
"OECD","CPI","TOT","IDX2015","M","1972-05",8.17626,
"OECD","CPI","TOT","IDX2015","M","1972-06",8.208899,
"OECD","CPI","TOT","IDX2015","M","1972-07",8.253654,
"OECD","CPI","TOT","IDX2015","M","1972-08",8.285732,
"OECD","CPI","TOT","IDX2015","M","1972-09",8.331298,
"OECD","CPI","TOT","IDX2015","M","1972-10",8.382,
"OECD","CPI","TOT","IDX2015","M","1972-11",8.409096,
"OECD","CPI","TOT","IDX2015","M","1972-12",8.443099,
"OECD","CPI","TOT","IDX2015","M","1973-01",8.499401,
"OECD","CPI","TOT","IDX2015","M","1973-02",8.556457,
"OECD","CPI","TOT","IDX2015","M","1973-03",8.635867,
"OECD","CPI","TOT","IDX2015","M","1973-04",8.724259,
"OECD","CPI","TOT","IDX2015","M","1973-05",8.804964,
"OECD","CPI","TOT","IDX2015","M","1973-06",8.866253,
"OECD","CPI","TOT","IDX2015","M","1973-07",8.917408,
"OECD","CPI","TOT","IDX2015","M","1973-08",9.014874,
"OECD","CPI","TOT","IDX2015","M","1973-09",9.093135,
"OECD","CPI","TOT","IDX2015","M","1973-10",9.190318,
"OECD","CPI","TOT","IDX2015","M","1973-11",9.269685,
"OECD","CPI","TOT","IDX2015","M","1973-12",9.383465,
"OECD","CPI","TOT","IDX2015","M","1974-01",9.52961,
"OECD","CPI","TOT","IDX2015","M","1974-02",9.671067,
"OECD","CPI","TOT","IDX2015","M","1974-03",9.791117,
"OECD","CPI","TOT","IDX2015","M","1974-04",9.910455,
"OECD","CPI","TOT","IDX2015","M","1974-05",10.01519,
"OECD","CPI","TOT","IDX2015","M","1974-06",10.09222,
"OECD","CPI","TOT","IDX2015","M","1974-07",10.20852,
"OECD","CPI","TOT","IDX2015","M","1974-08",10.3121,
"OECD","CPI","TOT","IDX2015","M","1974-09",10.44047,
"OECD","CPI","TOT","IDX2015","M","1974-10",10.58117,
"OECD","CPI","TOT","IDX2015","M","1974-11",10.69528,
"OECD","CPI","TOT","IDX2015","M","1974-12",10.77581,
"OECD","CPI","TOT","IDX2015","M","1975-01",10.88726,
"OECD","CPI","TOT","IDX2015","M","1975-02",10.97309,
"OECD","CPI","TOT","IDX2015","M","1975-03",11.05079,
"OECD","CPI","TOT","IDX2015","M","1975-04",11.16926,
"OECD","CPI","TOT","IDX2015","M","1975-05",11.27155,
"OECD","CPI","TOT","IDX2015","M","1975-06",11.35752,
"OECD","CPI","TOT","IDX2015","M","1975-07",11.44868,
"OECD","CPI","TOT","IDX2015","M","1975-08",11.48648,
"OECD","CPI","TOT","IDX2015","M","1975-09",11.59112,
"OECD","CPI","TOT","IDX2015","M","1975-10",11.68987,
"OECD","CPI","TOT","IDX2015","M","1975-11",11.75925,
"OECD","CPI","TOT","IDX2015","M","1975-12",11.82317,
"OECD","CPI","TOT","IDX2015","M","1976-01",11.93763,
"OECD","CPI","TOT","IDX2015","M","1976-02",12.02354,
"OECD","CPI","TOT","IDX2015","M","1976-03",12.09852,
"OECD","CPI","TOT","IDX2015","M","1976-04",12.21599,
"OECD","CPI","TOT","IDX2015","M","1976-05",12.31423,
"OECD","CPI","TOT","IDX2015","M","1976-06",12.36907,
"OECD","CPI","TOT","IDX2015","M","1976-07",12.43964,
"OECD","CPI","TOT","IDX2015","M","1976-08",12.50518,
"OECD","CPI","TOT","IDX2015","M","1976-09",12.63072,
"OECD","CPI","TOT","IDX2015","M","1976-10",12.78074,
"OECD","CPI","TOT","IDX2015","M","1976-11",12.87192,
"OECD","CPI","TOT","IDX2015","M","1976-12",12.9592,
"OECD","CPI","TOT","IDX2015","M","1977-01",13.0939,
"OECD","CPI","TOT","IDX2015","M","1977-02",13.22186,
"OECD","CPI","TOT","IDX2015","M","1977-03",13.33807,
"OECD","CPI","TOT","IDX2015","M","1977-04",13.49612,
"OECD","CPI","TOT","IDX2015","M","1977-05",13.59018,
"OECD","CPI","TOT","IDX2015","M","1977-06",13.6776,
"OECD","CPI","TOT","IDX2015","M","1977-07",13.76059,
"OECD","CPI","TOT","IDX2015","M","1977-08",13.83598,
"OECD","CPI","TOT","IDX2015","M","1977-09",13.94747,
"OECD","CPI","TOT","IDX2015","M","1977-10",14.05291,
"OECD","CPI","TOT","IDX2015","M","1977-11",14.12323,
"OECD","CPI","TOT","IDX2015","M","1977-12",14.18877,
"OECD","CPI","TOT","IDX2015","M","1978-01",14.31047,
"OECD","CPI","TOT","IDX2015","M","1978-02",14.41684,
"OECD","CPI","TOT","IDX2015","M","1978-03",14.53401,
"OECD","CPI","TOT","IDX2015","M","1978-04",14.6763,
"OECD","CPI","TOT","IDX2015","M","1978-05",14.80237,
"OECD","CPI","TOT","IDX2015","M","1978-06",14.9212,
"OECD","CPI","TOT","IDX2015","M","1978-07",15.04314,
"OECD","CPI","TOT","IDX2015","M","1978-08",15.11757,
"OECD","CPI","TOT","IDX2015","M","1978-09",15.23839,
"OECD","CPI","TOT","IDX2015","M","1978-10",15.37605,
"OECD","CPI","TOT","IDX2015","M","1978-11",15.44303,
"OECD","CPI","TOT","IDX2015","M","1978-12",15.51633,
"OECD","CPI","TOT","IDX2015","M","1979-01",15.68363,
"OECD","CPI","TOT","IDX2015","M","1979-02",15.82327,
"OECD","CPI","TOT","IDX2015","M","1979-03",15.979,
"OECD","CPI","TOT","IDX2015","M","1979-04",16.1739,
"OECD","CPI","TOT","IDX2015","M","1979-05",16.34747,
"OECD","CPI","TOT","IDX2015","M","1979-06",16.52752,
"OECD","CPI","TOT","IDX2015","M","1979-07",16.76094,
"OECD","CPI","TOT","IDX2015","M","1979-08",16.88128,
"OECD","CPI","TOT","IDX2015","M","1979-09",17.08048,
"OECD","CPI","TOT","IDX2015","M","1979-10",17.2835,
"OECD","CPI","TOT","IDX2015","M","1979-11",17.43389,
"OECD","CPI","TOT","IDX2015","M","1979-12",17.61767,
"OECD","CPI","TOT","IDX2015","M","1980-01",17.94992,
"OECD","CPI","TOT","IDX2015","M","1980-02",18.22992,
"OECD","CPI","TOT","IDX2015","M","1980-03",18.45241,
"OECD","CPI","TOT","IDX2015","M","1980-04",18.71329,
"OECD","CPI","TOT","IDX2015","M","1980-05",18.8929,
"OECD","CPI","TOT","IDX2015","M","1980-06",19.08084,
"OECD","CPI","TOT","IDX2015","M","1980-07",19.19813,
"OECD","CPI","TOT","IDX2015","M","1980-08",19.3371,
"OECD","CPI","TOT","IDX2015","M","1980-09",19.5335,
"OECD","CPI","TOT","IDX2015","M","1980-10",19.73106,
"OECD","CPI","TOT","IDX2015","M","1980-11",19.90763,
"OECD","CPI","TOT","IDX2015","M","1980-12",20.08263,
"OECD","CPI","TOT","IDX2015","M","1981-01",20.33848,
"OECD","CPI","TOT","IDX2015","M","1981-02",20.53358,
"OECD","CPI","TOT","IDX2015","M","1981-03",20.72454,
"OECD","CPI","TOT","IDX2015","M","1981-04",20.93611,
"OECD","CPI","TOT","IDX2015","M","1981-05",21.11784,
"OECD","CPI","TOT","IDX2015","M","1981-06",21.29735,
"OECD","CPI","TOT","IDX2015","M","1981-07",21.50287,
"OECD","CPI","TOT","IDX2015","M","1981-08",21.64942,
"OECD","CPI","TOT","IDX2015","M","1981-09",21.88975,
"OECD","CPI","TOT","IDX2015","M","1981-10",22.0675,
"OECD","CPI","TOT","IDX2015","M","1981-11",22.20727,
"OECD","CPI","TOT","IDX2015","M","1981-12",22.33656,
"OECD","CPI","TOT","IDX2015","M","1982-01",22.55635,
"OECD","CPI","TOT","IDX2015","M","1982-02",22.701,
"OECD","CPI","TOT","IDX2015","M","1982-03",22.82833,
"OECD","CPI","TOT","IDX2015","M","1982-04",23.06347,
"OECD","CPI","TOT","IDX2015","M","1982-05",23.31654,
"OECD","CPI","TOT","IDX2015","M","1982-06",23.5843,
"OECD","CPI","TOT","IDX2015","M","1982-07",23.76297,
"OECD","CPI","TOT","IDX2015","M","1982-08",24.02052,
"OECD","CPI","TOT","IDX2015","M","1982-09",24.23918,
"OECD","CPI","TOT","IDX2015","M","1982-10",24.47948,
"OECD","CPI","TOT","IDX2015","M","1982-11",24.60935,
"OECD","CPI","TOT","IDX2015","M","1982-12",24.86122,
"OECD","CPI","TOT","IDX2015","M","1983-01",25.12951,
"OECD","CPI","TOT","IDX2015","M","1983-02",25.27238,
"OECD","CPI","TOT","IDX2015","M","1983-03",25.43264,
"OECD","CPI","TOT","IDX2015","M","1983-04",25.7066,
"OECD","CPI","TOT","IDX2015","M","1983-05",25.91456,
"OECD","CPI","TOT","IDX2015","M","1983-06",26.0513,
"OECD","CPI","TOT","IDX2015","M","1983-07",26.23628,
"OECD","CPI","TOT","IDX2015","M","1983-08",26.40055,
"OECD","CPI","TOT","IDX2015","M","1983-09",26.63277,
"OECD","CPI","TOT","IDX2015","M","1983-10",26.86951,
"OECD","CPI","TOT","IDX2015","M","1983-11",27.07056,
"OECD","CPI","TOT","IDX2015","M","1983-12",27.24335,
"OECD","CPI","TOT","IDX2015","M","1984-01",27.49011,
"OECD","CPI","TOT","IDX2015","M","1984-02",27.70276,
"OECD","CPI","TOT","IDX2015","M","1984-03",27.87229,
"OECD","CPI","TOT","IDX2015","M","1984-04",28.1012,
"OECD","CPI","TOT","IDX2015","M","1984-05",28.26963,
"OECD","CPI","TOT","IDX2015","M","1984-06",28.43256,
"OECD","CPI","TOT","IDX2015","M","1984-07",28.58106,
"OECD","CPI","TOT","IDX2015","M","1984-08",28.70478,
"OECD","CPI","TOT","IDX2015","M","1984-09",28.91501,
"OECD","CPI","TOT","IDX2015","M","1984-10",29.14543,
"OECD","CPI","TOT","IDX2015","M","1984-11",29.26608,
"OECD","CPI","TOT","IDX2015","M","1984-12",29.39986,
"OECD","CPI","TOT","IDX2015","M","1985-01",29.67147,
"OECD","CPI","TOT","IDX2015","M","1985-02",29.87766,
"OECD","CPI","TOT","IDX2015","M","1985-03",30.10748,
"OECD","CPI","TOT","IDX2015","M","1985-04",30.33912,
"OECD","CPI","TOT","IDX2015","M","1985-05",30.48458,
"OECD","CPI","TOT","IDX2015","M","1985-06",30.58237,
"OECD","CPI","TOT","IDX2015","M","1985-07",30.70815,
"OECD","CPI","TOT","IDX2015","M","1985-08",30.82012,
"OECD","CPI","TOT","IDX2015","M","1985-09",31.01344,
"OECD","CPI","TOT","IDX2015","M","1985-10",31.27401,
"OECD","CPI","TOT","IDX2015","M","1985-11",31.45524,
"OECD","CPI","TOT","IDX2015","M","1985-12",31.68394,
"OECD","CPI","TOT","IDX2015","M","1986-01",31.96421,
"OECD","CPI","TOT","IDX2015","M","1986-02",32.02656,
"OECD","CPI","TOT","IDX2015","M","1986-03",32.07584,
"OECD","CPI","TOT","IDX2015","M","1986-04",32.20847,
"OECD","CPI","TOT","IDX2015","M","1986-05",32.38985,
"OECD","CPI","TOT","IDX2015","M","1986-06",32.59938,
"OECD","CPI","TOT","IDX2015","M","1986-07",32.71898,
"OECD","CPI","TOT","IDX2015","M","1986-08",32.91484,
"OECD","CPI","TOT","IDX2015","M","1986-09",33.19427,
"OECD","CPI","TOT","IDX2015","M","1986-10",33.44943,
"OECD","CPI","TOT","IDX2015","M","1986-11",33.65867,
"OECD","CPI","TOT","IDX2015","M","1986-12",33.9155,
"OECD","CPI","TOT","IDX2015","M","1987-01",34.21239,
"OECD","CPI","TOT","IDX2015","M","1987-02",34.43182,
