Date;vader;vader_average;watson;henry;Loughran-McDonald;average_sentiment;count;WTI
18.11.2017;-0.589378938;-0.10852099;-0.396259259;0.212478632;-0.730231729;-0.322382457;5;56.21
19.11.2017;0.215388205;-0.038960722;-0.37131231;0.209645167;-0.626317016;-0.122311335;9;
20.11.2017;0.29859097;0.035729715;-0.237414021;0.192589291;-0.350616512;-0.012224111;54;56.21
21.11.2017;0.249460946;0.017510779;-0.115074064;0.356519731;-0.289347856;0.043813907;50;56.84
22.11.2017;0.057218625;-0.000209377;-0.219702478;0.430621815;-0.346907319;-0.015795747;62;57.88
23.11.2017;-0.05165365;-0.019788783;-0.284815716;0.175396961;-0.478846374;-0.131941512;33;
24.11.2017;0.429599778;0.04761038;-0.116702913;0.326597768;-0.223295525;0.092761898;44;58.94
25.11.2017;-0.223122312;0.037259098;-0.160398364;0.044444444;-0.180952381;-0.096553903;3;
26.11.2017;-0.23540479;-0.039632061;-0.330676908;0.239793674;-0.506653363;-0.17451469;16;
27.11.2017;0.335950986;0.007582449;-0.306737614;0.186234954;-0.361722121;-0.027738269;46;58.1
28.11.2017;0.264728259;0.05029538;-0.198369432;0.349982869;-0.308947377;0.03153794;56;57.96
29.11.2017;0.322983319;0.041254196;-0.152930581;0.341016075;-0.421566835;0.026151235;49;57.25
30.11.2017;0.306748322;0.03886804;-0.1537405;0.408094866;-0.291331508;0.061727844;68;57.4
01.12.2017;0.307839713;0.032810965;-0.286270408;0.289025995;-0.273664971;0.013948259;56;58.35
02.12.2017;-0.272093876;-0.042407316;-0.506673127;0.393761141;-0.477989984;-0.181080632;6;
03.12.2017;0.006745119;0.008563073;-0.406624035;0.392292769;-0.589869082;-0.117778431;9;
04.12.2017;0.258406328;0.03043447;-0.214232274;0.234689963;-0.357645853;-0.009669473;41;57.48
05.12.2017;0.11235739;0.007863517;-0.238089864;0.36572597;-0.243876126;0.000796177;52;57.66
06.12.2017;-0.133974761;-0.02040413;-0.301856086;0.249708506;-0.460865711;-0.133478436;44;55.79
07.12.2017;0.302953152;0.043610981;-0.102478395;0.457159882;-0.199474835;0.100354157;35;56.5
08.12.2017;0.4180018;0.095744994;-0.021437991;0.484393675;-0.09242067;0.176856362;35;57.15
